juldat,isd_flux_solo_low
2458890.5,12.656507492593297
2458891.5,12.709282151387713
2458892.5,12.744970630831798
2458893.5,12.776397849277767
2458894.5,12.805900682314881
2458895.5,12.834087051227547
2458896.5,12.861324008796412
2458897.5,12.887764180741666
2458898.5,12.913492474359552
2458899.5,12.938560182846798
2458900.5,12.96300013446455
2458901.5,12.986788963713092
2458902.5,13.01003290469497
2458903.5,13.032697627802094
2458904.5,13.054790843522321
2458905.5,13.07631835818913
2458906.5,13.097283908991212
2458907.5,13.117690031218217
2458908.5,13.137538154246416
2458909.5,13.156828772354395
2458910.5,13.175561579799933
2458911.5,13.193735531555141
2458912.5,13.211348914913218
2458913.5,13.228399386033011
2458914.5,13.244883994553051
2458915.5,13.26079919993787
2458916.5,13.276140887646275
2458917.5,13.290904439094378
2458918.5,13.305084465020295
2458919.5,13.318675194108568
2458920.5,13.331670208526722
2458921.5,13.344062503466382
2458922.5,13.35584447230393
2458923.5,13.367007872054954
2458924.5,13.377543844806663
2458925.5,13.387442870523744
2458926.5,13.3966947627871
2458927.5,13.405288631255862
2458928.5,13.413212869687937
2458929.5,13.420455114834729
2458930.5,13.42700225548671
2458931.5,13.43284046915732
2458932.5,13.437954747411304
2458933.5,13.442329572348093
2458934.5,13.445948398101402
2458935.5,13.448793712394139
2458936.5,13.450847049094229
2458937.5,13.452088881368244
2458938.5,13.452498630386561
2458939.5,13.452054558584367
2458940.5,13.450733789272002
2458941.5,13.448512192032428
2458942.5,13.445364351440027
2458943.5,13.441263476164353
2458944.5,13.436181408275258
2458945.5,13.430088464248819
2458946.5,13.422953405566192
2458947.5,13.414743406747844
2458948.5,13.405423867085874
2458949.5,13.394958476650555
2458950.5,13.383308955389374
2458951.5,13.37043514315928
2458952.5,13.356294745277161
2458953.5,13.340843310642006
2458954.5,13.324034154661899
2458955.5,13.3058181592215
2458956.5,13.286143773364229
2458957.5,13.264956774776577
2458958.5,13.242200264419456
2458959.5,13.217814446533144
2458960.5,13.19173655724751
2458961.5,13.163900698539676
2458962.5,13.13423774071101
2458963.5,13.102675147863401
2458964.5,13.069136875880398
2458965.5,13.033543201073105
2458966.5,12.995810619535986
2458967.5,12.95585170976072
2458968.5,12.913574954301227
2458969.5,12.868884545862377
2458970.5,12.821680713879651
2458971.5,12.771859533401946
2458972.5,12.719311474597799
2458973.5,12.663923707571659
2458974.5,12.605578475414573
2458975.5,12.544153505530163
2458976.5,12.479522083721147
2458977.5,12.411553131941549
2458978.5,12.340111403357866
2458979.5,12.26505768536873
2458980.5,12.186249131297574
2458981.5,12.10353968778344
2458982.5,12.016780567126492
2458983.5,11.92582096835221
2458984.5,11.83050883699838
2458985.5,11.730691841854368
2458986.5,11.62621853491921
2458987.5,11.516939713813674
2458988.5,11.402710025139212
2458989.5,11.283389839602446
2458990.5,11.158847380052073
2458991.5,11.028961202215074
2458992.5,10.89362295953304
2458993.5,10.75274038150016
2458994.5,10.6062415042047
2458995.5,10.454077464197947
2458996.5,10.29622749059525
2458997.5,10.13270341004105
2458998.5,9.96355458257159
2458999.5,9.788873351942302
2459000.5,9.608800608567783
2459001.5,9.423531680021544
2459002.5,9.233322941422445
2459003.5,9.038495592164974
2459004.5,8.839445389755262
2459005.5,8.63664586236023
2459006.5,8.43065446065432
2459007.5,8.222117564354575
2459008.5,8.011774649445998
2459009.5,7.800461480216218
2459010.5,7.589112002301702
2459011.5,7.378758598491905
2459012.5,7.170530339103337
2459013.5,6.965648705092023
2459014.5,6.765420287640582
2459015.5,6.5712258366653
2459016.5,6.384486988017013
2459017.5,6.2067162238516245
2459018.5,6.0393883297207775
2459019.5,5.88397535412642
2459020.5,5.741893108409384
2459021.5,5.614458875784927
2459022.5,5.502846144885402
2459023.5,5.408038907616898
2459024.5,5.330789098606185
2459025.5,5.27158150595305
2459026.5,5.230610000005142
2459027.5,5.207768280690361
2459028.5,5.202657064731117
2459029.5,5.214606694725715
2459030.5,5.242714456966538
2459031.5,5.285889414327097
2459032.5,5.3429043148705935
2459033.5,5.412446659655316
2459034.5,5.493166454096711
2459035.5,5.58371763292076
2459036.5,5.682791700682097
2459037.5,5.789143111560696
2459038.5,5.901606950788804
2459039.5,6.019109756244644
2459040.5,6.140674769005632
2459041.5,6.265422812839798
2459042.5,6.392569983734191
2459043.5,6.5214230934265975
2459044.5,6.65137378030071
2459045.5,6.781884797382929
2459046.5,6.912510875997068
2459047.5,7.042850026121635
2459048.5,7.172564501268298
2459049.5,7.30136751659674
2459050.5,7.429017350558004
2459051.5,7.555311940064033
2459052.5,7.680083967739123
2459053.5,7.803196476389175
2459054.5,7.924538937414526
2459055.5,8.044023745874332
2459056.5,8.161583108794716
2459057.5,8.277166473809162
2459058.5,8.390737951029838
2459059.5,8.502274294496164
2459060.5,8.61176305312339
2459061.5,8.719200970552624
2459062.5,8.82459258370753
2459063.5,8.927948838106122
2459064.5,9.029286267641366
2459065.5,9.128626338989283
2459066.5,9.225994080016312
2459067.5,9.321417609526584
2459068.5,9.414927556057807
2459069.5,9.506556539224965
2459070.5,9.596338734313168
2459071.5,9.684309443734115
2459072.5,9.770504844863956
2459073.5,9.854961635055076
2459074.5,9.937716841090916
2459075.5,10.018807590895658
2459076.5,10.098270943140564
2459077.5,10.176143745002822
2459078.5,10.252462494851503
2459079.5,10.327263259431998
2459080.5,10.400581577928067
2459081.5,10.472452388803818
2459082.5,10.542909976784468
2459083.5,10.611987927045853
2459084.5,10.679719064823693
2459085.5,10.746135494044612
2459086.5,10.811268548652901
2459087.5,10.875148704019418
