Julian date,Fluxes [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s]
2459619.5,0,-14.891621395935505,26.620997957413383,0.7936209102805569,0.7394627463072538,-119.10032432080483,-0.20843142248870095,-14.834779966221394,-26.652484130470505,-0.11096430645116341
2459620.5,5,-15.204777944483599,26.921958877923394,0.784929909354591,0.7446017623879015,-117.74562855905175,-0.13728477422453977,-14.394150456286134,-27.363846337865986,-0.07408377088809416
2459621.5,6,-15.519152498289412,27.236011968552845,0.7760576874957296,0.7444628700613976,-116.38142445232312,-0.0655614352052112,-13.928937248118718,-28.082518810490157,-0.03586938462898368
2459622.5,3,-15.83460384772656,27.5638527987962,0.767003580734544,0.7444628700613976,-115.00671836587675,0.00675117532414049,-13.437724966870363,-28.80847434025508,0.0037456315447085315
2459623.5,4,-16.15096196688999,27.906226670854377,0.757767014781445,0.7444628700613976,-113.62045180403726,0.07966723587435354,-12.918987195412067,-29.54164550863247,0.044832444786342275
2459625.5,18,-16.785555161268853,28.637828061410342,0.7387447620688075,1.455574220221024,-110.80863446455372,0.2273729656428003,-11.792209427581648,-31.02912345471476,0.13172924894040602
2459626.5,17,-17.103258586199196,29.02883132731137,0.7289585490687098,1.4808699851855636,-109.38059670203003,0.30219919732068945,-11.180469575537336,-31.783014691741382,0.17770669915815046
2459627.5,18,-17.420801010815126,29.43792949931304,0.7189888759065138,1.489759094081819,-107.93599833978362,0.3777003246987505,-10.533775564511526,-32.54327468725309,0.22549069034904737
2459628.5,19,-17.737786103753642,29.866181579036297,0.7088359469543805,1.489759094081819,-106.47336237592378,0.4538974038749615,-9.849877579874008,-33.30948882999554,0.27517906966359995
2459629.5,17,-18.053749513383003,30.31472437440404,0.6985002146549469,1.489741732541006,-104.99110324803854,0.5308121607987601,-9.1263396653057,-34.081130584146976,0.3268758294107243
