Index,Label,Amplitude
1,1,202.65263877809
2,0,4.3112724670209
3,0,4.56056644907221
4,0,4.44720816449262
5,0,5.69331213409896
6,0,4.9681645759847
7,0,6.35328885255149
8,0,4.44710365263745
9,0,4.53861623827834
10,0,4.53825019940268
11,0,4.78592328727245
12,0,5.05852680362295
13,0,4.44694663747214
14,0,4.99074207618833
15,0,4.60446649231017
16,0,5.21688326261938
17,0,5.82971824042033
18,0,7.83342949580401
19,1,11.0688654240221
20,1,10.0028067827225
21,1,9.45843616500497
22,0,5.35386489355005
23,0,4.65186989458743
24,0,5.15066698426381
25,0,4.6509288076777
26,0,4.8766516847536
27,0,5.05831775808474
28,0,5.14915079111233
29,0,5.33520887984196
30,0,5.26224751956761
31,0,4.69519488979131
32,0,4.60702875716379
33,0,4.8766516847536
34,0,4.69519488979131
35,1,6.32830616086721
36,0,4.51567277195863
